Location,Sea level [mm],Date
Helsinki Kaivopuisto,-38.833333333333336,1976-04-21
Helsinki Kaivopuisto,-90.625,1976-04-22
Helsinki Kaivopuisto,-174.45833333333334,1976-04-23
Helsinki Kaivopuisto,-100.91666666666667,1976-04-24
Helsinki Kaivopuisto,-117.375,1976-04-25
Helsinki Kaivopuisto,-132.875,1976-04-26
Helsinki Kaivopuisto,-264.0,1976-04-27
Helsinki Kaivopuisto,-301.0,1976-04-28
Helsinki Kaivopuisto,29.833333333333332,1976-04-29
Helsinki Kaivopuisto,-86.16666666666667,1976-04-30
Helsinki Kaivopuisto,-12.833333333333334,1976-05-01
Helsinki Kaivopuisto,-68.0,1976-05-02
Helsinki Kaivopuisto,-168.29166666666666,1976-05-03
Helsinki Kaivopuisto,-110.83333333333333,1976-05-04
Helsinki Kaivopuisto,16.291666666666668,1976-05-05
